id;first_name;middle_name;last_name;email;phone;address;city;state;postal_code;country;social_media_profiles;notes;preferences;budget;rental_budget;interaction_history
1;Mario;how overconfidently;Mayorga Villanueva;"_|z@F.tZV.Z*IZ6";"12";weakly analogy;Ávila;longingly;"25770";Burundi;faithfully wonderfully;../fake-data/blob/hipster.txt;overconfidently yuck since;6906.27;31070.98;../fake-data/blob/hipster.txt
2;Federico;navigate;Jáquez Zelaya;"8pfl@a{.?_e4L";"386413283";blink;Majadahonda;stuff trolley;"59114-8564";Montserrat;deserted limp;../fake-data/blob/hipster.txt;mysteriously lucky;21604.86;23602.72;../fake-data/blob/hipster.txt
3;Roberto;boring;Valladares Montaño;"fwD@*kP7-.i";"565109405367";reorganisation;Pozuelo de Alarcón;jaggedly;"95556";Corea;like;../fake-data/blob/hipster.txt;yearly dereference;26015.15;11255.86;../fake-data/blob/hipster.txt
4;Amalia;sorrowful entice;Ponce Alaníz;"(tm@O#wDhf.hyr";"+7833519";attest memorise;Málaga;except massage tabulate;"35830";Haiti;rusty arraign;../fake-data/blob/hipster.txt;eek unaccountably righteously;17735.09;14136.05;../fake-data/blob/hipster.txt
5;Antonia;unfurl woot besides;Reynoso Baeza;";@M:..7a:mYv";"+727242";shipper better;Oviedo;arrange;"28561-3304";Puerto Rico;unwilling covenant for;../fake-data/blob/hipster.txt;well-to-do;28509.14;31563.69;../fake-data/blob/hipster.txt
6;Soledad;judgementally quietly;Cabán Malave;"]@3w#.c+H5";"+81569507828";glossy taxicab;Guadalajara;gee gosh;"76442-1926";Trinidad y Tobago;bell;../fake-data/blob/hipster.txt;down;27463.7;27976.42;../fake-data/blob/hipster.txt
7;Sofía;fortunately;Arriaga Lozada;"t@ZCVmu.l$b.?";"+8199564";delectable;Alcorcón;mid;"29658";Sierra Leona;leap opposite;../fake-data/blob/hipster.txt;phooey so;19413.22;18389.99;../fake-data/blob/hipster.txt
8;Lola;astride aside;Casares Valentín;"3@+TQZ.f|=gRm";"+77686360012578";unfortunately save famously;Elche;yippee sometimes;"60706-3383";Rusia;ick partially fraternise;../fake-data/blob/hipster.txt;smoggy;9355.15;14309.67;../fake-data/blob/hipster.txt
9;Patricio;knickers;Olivas Ceja;"(:#@t.|";"+60830";whitewash gosh;Torrejón de Ardoz;sand;"31098";Estonia;biodegrade because rubric;../fake-data/blob/hipster.txt;thoroughly gah any;23877.21;14877.43;../fake-data/blob/hipster.txt
10;Julia;scare;Badillo Limón;"#f9:0X@!Z].'bD";"+28326052";acquaintance supposing;Torremolinos;as;"03144";Liechtenstein;bracelet;../fake-data/blob/hipster.txt;papa towards wonderfully;19535.17;29712.03;../fake-data/blob/hipster.txt
